event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session,data,mes
2020-01-20 16:24:18+00:00,view,5801772,1487580005671109489,,masura,1.73,568872501,bba045a5-d177-4d9e-b91c-b543b3a50e72,20200120,202001
2019-12-28 13:33:55+00:00,cart,5843836,1487580009286598681,,,0.38,593871790,1ee610a2-4d77-4aea-934e-e5a1e1f4b6c3,20191228,201912
2019-11-24 08:45:43+00:00,view,5814066,1487580005855658874,,grattol,1.95,573081216,c7a06149-1afd-43d9-bda7-694b435cb67b,20191124,201911
2019-11-21 20:21:33+00:00,view,5787010,1487580006644188066,,,5.7,571812223,ded5e105-effc-4f2e-9d8d-9fcdf227f220,20191121,201911
2019-11-12 05:20:09+00:00,view,5820768,1487580006317032337,,,15.87,312735002,a9ba398d-2543-408f-b7ca-1cd211c7e01d,20191112,201911
2020-01-31 09:39:08+00:00,cart,5838840,1487580005092295511,,lovely,10.95,535662912,9c171ba0-6b68-42f9-bdd9-a5feeb877171,20200131,202001
2020-02-26 22:20:20+00:00,remove_from_cart,5751448,1511892746070131099,,uno,6.56,369169629,5e26bf9b-f7bc-484b-9585-44bf6ccb5d7f,20200226,202002
2020-02-04 11:10:54+00:00,remove_from_cart,5875412,2084144451428549153,,,2.05,608975981,e5c73a14-bffa-4fdf-9138-8bf79570a4cd,20200204,202002
2019-10-20 09:05:42+00:00,view,5770067,1487580009051717646,,kosmekka,7.62,484732839,007cb91c-4d5f-4b90-b540-58e46db471f2,20191020,201910
2019-11-01 13:31:13+00:00,view,5885848,1487580007910867929,,,7.22,562000064,9d41ea67-346f-42d5-9ec4-9c07bb42c526,20191101,201911
2020-02-12 19:57:36+00:00,view,5803516,1783999072332415142,,,14.29,558917602,5dd663e3-df20-4014-840a-9d24c5bfb131,20200212,202002
2019-12-30 01:08:27+00:00,view,5588152,1487580006300255120,,irisk,76.19,594586807,f79dc7f8-a47d-4281-8630-0bfe501da7a2,20191230,201912
2020-01-08 06:23:59+00:00,cart,5809911,1602943681873052386,,grattol,5.24,598211762,98585b93-e63f-4448-bc3a-7a5a8ed6e5e9,20200108,202001
2019-11-24 14:31:10+00:00,view,5587772,1487580006317032337,,irisk,1.71,508476139,c9f7ff2d-f2f1-4e28-b0d8-25b509b8eabe,20191124,201911
2020-02-22 05:52:35+00:00,remove_from_cart,5714057,1487580004832248652,,beautix,9.37,618634716,ce227840-032e-4fd0-8f82-2f3b165a4e5d,20200222,202002
2019-11-25 08:59:52+00:00,remove_from_cart,5819237,1487580005713052531,,ingarden,4.44,524434718,042eb412-7fec-4247-881b-5ccfa8b14a8b,20191125,201911
2020-02-25 08:15:39+00:00,view,5823637,1487580004916134735,,,4.17,520239363,dfaea39d-9691-4313-8b6a-4da9ea4a0e77,20200225,202002
2019-10-03 15:39:28+00:00,view,5745712,1487580006317032337,,runail,8.73,556424488,58897bae-ef5c-40a4-9833-8bf1568e6135,20191003,201910
2019-11-27 08:28:31+00:00,remove_from_cart,5803297,1487580011425693811,,,0.52,569211045,3ea1ac23-4b1c-439f-8251-6f8911a14397,20191127,201911
2020-01-28 17:40:15+00:00,remove_from_cart,5767912,1487580005595612013,,,2.05,563114405,96b906a9-ad44-4330-a978-278d66182755,20200128,202001
2019-10-25 20:45:10+00:00,remove_from_cart,5875431,2084144451428549153,,,2.05,501269794,b18b2b0b-77b3-4870-ab34-49b4b0e88074,20191025,201910
2019-11-13 02:24:41+00:00,cart,5857932,1487580011534745720,,limoni,5.41,561059283,267fb218-a4cd-4096-8d9a-2b003ede34c7,20191113,201911
2020-02-22 17:12:20+00:00,cart,5841799,1487580009471148064,,,0.13,601705405,5b7a192e-d551-4ae2-9640-97cfe1d858d7,20200222,202002
2020-02-16 19:59:54+00:00,view,5862943,1487580007675986893,,freedecor,0.79,468732506,7408ce68-f4c9-4969-9670-c4694cb1e30b,20200216,202002
